"","V1"
"caseid","case identification"
"v000","country code and phase"
"v001","cluster number"
"v002","household number"
"v003","respondent's line number"
"v004","ultimate area unit"
"v005","women's individual sample weight (6 decimals)"
"v006","month of interview"
"v007","year of interview"
"v008","date of interview (cmc)"
"v008a","date of interview century day code (cdc)"
"v009","respondent's month of birth"
"v010","respondent's year of birth"
"v011","date of birth (cmc)"
"v012","respondent's current age"
"v013","age in 5-year groups"
"v014","completeness of age information"
"v015","result of individual interview"
"v016","day of interview"
"v017","cmc start of calendar"
"v018","row of month of interview"
"v019","length of calendar"
"v019a","number of calendar columns"
"v020","ever-married sample"
"v021","primary sampling unit"
"v022","sample strata for sampling errors"
"v023","stratification used in sample design"
"v024","province"
"v025","type of place of residence"
"v026","na - de facto place of residence"
"v027","number of visits"
"v028","interviewer identification"
"v029","na - keyer identification"
"v030","field supervisor"
"v031","na - field editor"
"v032","na - office editor"
"v034","line number of husband"
"v040","cluster altitude in meters"
"v042","household selected for hemoglobin"
"v044","selected for domestic violence module"
"v045a","language of questionnaire"
"v045b","language of interview"
"v045c","native language of respondent"
"v046","translator used"
"v047","team number"
"v048","team supervisor"
"v101","province"
"v102","type of place of residence"
"v103","na - childhood place of residence"
"v104","years lived in place of residence"
"v105","type of place of previous residence"
"v105a","region of previous residence"
"v106","highest educational level"
"v107","highest year of education"
"v113","source of drinking water"
"v115","time to get to water source"
"v116","type of toilet facility"
"v119","household has: electricity"
"v120","household has: radio"
"v121","household has: television"
"v122","household has: refrigerator"
"v123","household has: bicycle/rickshaw"
"v124","household has: motorcycle/scooter"
"v125","household has: car/truck/tractor"
"v127","main floor material"
"v128","main wall material"
"v129","main roof material"
"v130","religion"
"v131","ethnicity"
"v133","education in single years"
"v134","na - de facto place of residence"
"v135","usual resident or visitor"
"v136","number of household members (listed)"
"v137","number of children 5 and under in household (de jure)"
"v138","number of eligible women in household (de facto)"
"v139","de jure province of residence"
"v140","de jure type of place of residence"
"v141","na - de jure place of residence"
"v149","educational attainment"
"v150","relationship to household head"
"v151","sex of household head"
"v152","age of household head"
"v153","household has: telephone (land-line)"
"awfactt","all woman factor - total"
"awfactu","all woman factor - urban/rural"
"awfactr","all woman factor - regional"
"awfacte","all woman factor - educational"
"awfactw","all woman factor - wealth index"
"v155","literacy"
"v156","na - ever participated in a literacy program outside of primary"
"v157","frequency of reading newspaper or magazine"
"v158","frequency of listening to radio"
"v159","frequency of watching television"
"v160","toilet facilities shared with other households"
"v161","type of cooking fuel"
"v166","na - result of salt test for iodine"
"v167","na - number of trips in last 12 months"
"v168","na - away for more than one month in last 12 months"
"v169a","owns a mobile telephone"
"v169b","last 12 months use mobile telephone for financial transactions"
"v169c","is respondent's mobile phone a smart phone"
"v170","has an account in a bank or other financial institution"
"v171a","use of internet"
"v171b","frequency of using internet last month"
"v172","respondent state of birth"
"v173","respondent country of birth"
"v174m","month move to current place of residence"
"v174y","year move to current place of residence"
"v175","reason for moving to current place of residence"
"v176","self reported health status"
"v177","money put/taken from bank account last 12 months"
"v190","wealth index combined"
"v191","wealth index factor score combined (5 decimals)"
"v190a","wealth index for urban/rural"
"v191a","wealth index factor score for urban/rural (5 decimals)"
